Title: UV Luminosity Functions at redshifts z ~ 4 to z ~ 10: 
      10000 Galaxies from HST Legacy Fields 
Authors: Bouwens R.J., Illingworth G.D., Oesch P.A., Trenti M., Labbe I., 
        Bradley L., Carollo M., van Dokkum P.G., Gonzalez V., Holwerda B., 
        Franx M., Spitler L., Smit R., Magee D. 
Table: A complete list of the sources included in our z ~ 4, z ~ 5, z ~ 6, 
       z ~ 7, z ~ 8, and z ~ 10 samples
================================================================================
Byte-by-byte Description of file: apj508910t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1- 19 A19    ---      ID     Source identifier
  21- 22 I2     h        RAh    Hour of Right Ascension (J2000)
  24- 25 I2     min      RAm    Minute of Right Ascension (J2000)
  27- 31 F5.2   s        RAs    Second of Right Ascension (J2000)
      33 A1     ---      DE-    Sign of the Declination (J2000)
  34- 35 I2     deg      DEd    Degree of Declination (J2000)
  37- 38 I2     arcmin   DEm    Arcminute of Declination (J2000)
  40- 43 F4.1   arcsec   DEs    Arcsecond of Declination (J2000)
  45- 49 F5.2   mag      F160W  Measured F160W-band AB magnitude 
  51- 52 I2     ---      rset   Sample number (1)
  54- 55 I2     ---      dset   Data set number (2)
  57- 61 F5.2   ---      zphot  Photometric Redshift as estimated by EAZY (3)
      62 A1     ---    f_zphot  [*] Flag on zphot (4)
XDFB-2376648168     03 32 37.66 -27 48 16.8 28.61  4  3  3.82
XDFB-2385948162     03 32 38.59 -27 48 16.2 28.04  4  3  4.37
XDFB-2382548139     03 32 38.25 -27 48 13.9 28.18  4  3  4.43
XDFB-2394448134     03 32 39.44 -27 48 13.4 26.40  4  3  3.63
XDFB-2381448127     03 32 38.14 -27 48 12.7 28.58  4  3  3.72
XDFB-2390248129     03 32 39.02 -27 48 12.9 27.99  4  3  3.91
XDFB-2379348121     03 32 37.93 -27 48 12.1 27.45  4  3  4.27
XDFB-2378848108     03 32 37.88 -27 48 10.8 30.13  4  3  3.58
XDFB-2399248106     03 32 39.92 -27 48 10.6 29.01  4  3  3.58
XDFB-2382348111     03 32 38.23 -27 48 11.1 26.96  4  3  3.68*
XDFB-2396948085     03 32 39.69 -27 48 08.5 29.31  4  3  3.40
XDFB-2379948072     03 32 37.99 -27 48 07.2 28.83  4  3  4.43*
XDFB-2392748056     03 32 39.27 -27 48 05.6 28.73  4  3  3.23
XDFB-2387448047     03 32 38.74 -27 48 04.7 28.30  4  3  3.49
XDFB-2398748041     03 32 39.87 -27 48 04.1 29.01  4  3  3.63
XDFB-2386048040     03 32 38.60 -27 48 04.0 25.94  4  3  3.63
XDFB-2398548032     03 32 39.85 -27 48 03.2 30.61  4  3  3.77
